digit,speaker_id,gender,accent,age,origin,split
7,59,female,German,31.0,"Europe, Germany, Berlin",train
7,59,female,German,31.0,"Europe, Germany, Berlin",train
2,59,female,German,31.0,"Europe, Germany, Berlin",train
3,59,female,German,31.0,"Europe, Germany, Berlin",train
9,59,female,German,31.0,"Europe, Germany, Berlin",train
9,59,female,German,31.0,"Europe, Germany, Berlin",train
3,59,female,German,31.0,"Europe, Germany, Berlin",train
4,59,female,German,31.0,"Europe, Germany, Berlin",train
4,59,female,German,31.0,"Europe, Germany, Berlin",train
1,59,female,German,31.0,"Europe, Germany, Berlin",train
2,59,female,German,31.0,"Europe, Germany, Berlin",train
2,59,female,German,31.0,"Europe, Germany, Berlin",train
9,59,female,German,31.0,"Europe, Germany, Berlin",train
8,59,female,German,31.0,"Europe, Germany, Berlin",train
8,59,female,German,31.0,"Europe, Germany, Berlin",train
5,59,female,German,31.0,"Europe, Germany, Berlin",train
5,59,female,German,31.0,"Europe, Germany, Berlin",train
8,59,female,German,31.0,"Europe, Germany, Berlin",train
9,59,female,German,31.0,"Europe, Germany, Berlin",train
8,59,female,German,31.0,"Europe, Germany, Berlin",train
2,59,female,German,31.0,"Europe, Germany, Berlin",train
2,59,female,German,31.0,"Europe, Germany, Berlin",train
1,59,female,German,31.0,"Europe, Germany, Berlin",train
4,59,female,German,31.0,"Europe, Germany, Berlin",train
4,59,female,German,31.0,"Europe, Germany, Berlin",train
3,59,female,German,31.0,"Europe, Germany, Berlin",train
9,59,female,German,31.0,"Europe, Germany, Berlin",train
9,59,female,German,31.0,"Europe, Germany, Berlin",train
3,59,female,German,31.0,"Europe, Germany, Berlin",train
7,59,female,German,31.0,"Europe, Germany, Berlin",train
2,59,female,German,31.0,"Europe, Germany, Berlin",train
7,59,female,German,31.0,"Europe, Germany, Berlin",train
3,59,female,German,31.0,"Europe, Germany, Berlin",train
2,59,female,German,31.0,"Europe, Germany, Berlin",train
7,59,female,German,31.0,"Europe, Germany, Berlin",train
9,59,female,German,31.0,"Europe, Germany, Berlin",train
7,59,female,German,31.0,"Europe, Germany, Berlin",train
6,59,female,German,31.0,"Europe, Germany, Berlin",train
9,59,female,German,31.0,"Europe, Germany, Berlin",train
3,59,female,German,31.0,"Europe, Germany, Berlin",train
4,59,female,German,31.0,"Europe, Germany, Berlin",train
4,59,female,German,31.0,"Europe, Germany, Berlin",train
1,59,female,German,31.0,"Europe, Germany, Berlin",train
1,59,female,German,31.0,"Europe, Germany, Berlin",train
6,59,female,German,31.0,"Europe, Germany, Berlin",train
2,59,female,German,31.0,"Europe, Germany, Berlin",train
2,59,female,German,31.0,"Europe, Germany, Berlin",train
8,59,female,German,31.0,"Europe, Germany, Berlin",train
2,59,female,German,31.0,"Europe, Germany, Berlin",train
8,59,female,German,31.0,"Europe, Germany, Berlin",train
9,59,female,German,31.0,"Europe, Germany, Berlin",train
5,59,female,German,31.0,"Europe, Germany, Berlin",train
